pheno	h2(add)	h2(add)_se	h2(dom)	h2(dom)_se	h2(AD)	h2(AD)_se	h2(add)_sig	h2(dom)_sig	h2(AD)_sig	h2(het)	h2(het)_se	h2(hom)	h2(hom)_se	Cov(hh)	Cov(hh)_se	hom/het	hom/het_se	h2(FACTOR)	h2(FACTOR)_se	h2(het)_sig	h2(hom)_sig	h2(FACTOR)_sig	Cov(hh)_sig	hom/het_sig
Lymphocyte_percentage	0.15874571267368917	0.011610420752856487	-0.1483572471215457	0.012120166603271379	0.010388465552143483	0.016427528308270514	True	True	False	0.07151621439810354	0.012534995840614837	0.11627317949325865	0.0177743046393844	0.33480679039977373	0.07637520544558725	1.6258296174069018	0.41188126583815426	0.18778939389136218	0.01972695009389081	True	True	True	True	True
Arm_fat_percentage__right_	0.20201993039696725	0.010446808571453772	-0.020100267502698808	0.012512814888751275	0.18191966289426845	0.014348031293588503	True	False	True	0.08218299477928623	0.012194449971034922	0.17522678751909548	0.01644357029910085	0.4036275195857107	0.06126767019858419	2.1321538353486775	0.4137657690055405	0.25740978229838174	0.017906814574562634	True	True	True	True	True
C-reactive_protein	0.08263402123684503	0.011690527581479149	0.013240688025735343	0.013341033292767196	0.09587470926258038	0.016786904447721306	True	False	True	0.04017766522335738	0.014721498855336084	0.0429612585658508	0.021822111180974806	0.5154993878706331	0.22721254843029504	1.0692821080323793	0.6977345437501077	0.08313892378920817	0.02520049169158661	True	True	True	True	True
Immature_reticulocyte_fraction	0.13055493847841546	0.010775741437996885	-0.01493860317075101	0.01302865046881301	0.11561633530766445	0.015642057151741273	True	False	True	0.0682358627923177	0.012758337222050796	0.09591418037904376	0.01827777211643342	-0.328464041426414	0.07383880429298469	1.4056271358503611	0.4057356785492969	0.16415004317136145	0.020445456899074503	True	True	True	True	True
Leg_fat_percentage__right_	0.21055814925185765	0.010347000547555031	0.023780855706740493	0.012507419487529434	0.23433900495859813	0.013927316111956193	True	False	True	0.11735854789715215	0.012529767586095374	0.15930535996274234	0.017447398676574924	0.3797980229980638	0.054422596699994046	1.357424429811031	0.23513072717086703	0.2766639078598945	0.01837965515703946	True	True	True	True	True
Leg_fat_percentage__left_	0.23570365633326176	0.011733838710900177	-0.1514776503928971	0.013980790027646205	0.08422600594036467	0.016511712840304716	True	True	True	0.0996933161773715	0.012144248035402034	0.16293920726060523	0.016717408742206282	0.3829981834501399	0.05645297489615509	1.6344045268863205	0.2918231263853011	0.2626325234379767	0.017920226804228733	True	True	True	True	True
Standing_height	0.5394596873965031	0.013474473532894535	-0.15976773742874756	0.012782893234052083	0.3796919499677555	0.013000564394068433	True	True	True	0.19941194528846712	0.01038341074616881	0.36011742421297493	0.012868602459122937	0.33181610452202304	0.023200862807957384	1.805896952121063	0.13647474726888797	0.559529369501442	0.01223505480966776	True	True	True	True	True
Total_protein	0.13121089595024463	0.011553467327894551	-0.002384998242105536	0.013819649170991453	0.1288258977081391	0.01658073564371441	True	False	True	0.03744706398428708	0.01448604183236739	0.11231951741131561	0.020437082549291583	0.48612616462801395	0.14768004350976688	2.9994211951688734	1.347495704606035	0.1497665813956027	0.023394301169216692	True	True	True	True	False
IGF-1	0.2649441969087349	0.011996749374765275	-0.1956257393163376	0.01264800354988581	0.0693184575923973	0.016056340221190273	True	True	True	0.11736672487290392	0.01230104460713841	0.1824813566524379	0.0167808321079715	0.1516944263604521	0.038549267782191636	1.5547963602975752	0.24672209705572226	0.2998480815253418	0.017606506711254268	True	True	True	True	True
Forced_expiratory_volume_in_1-second__FEV1__Z-score	0.2108106614971456	0.014254124508933912	-0.15066111118822487	0.01464173295384594	0.060149550308920746	0.019314879791596063	True	True	True	0.10485232854637219	0.015054371407297996	0.13583158853520222	0.021306131081726788	0.20723691469083927	0.05908930003452077	1.2954560992427466	0.30791545931605435	0.2406839170815744	0.022802795733209983	True	True	True	True	True
Hand_grip_strength__right_	0.13725436388255063	0.011552410528887301	-0.21637715815799521	0.009768015250481515	-0.07912279427544458	0.015961624535561117	True	True	True	0.03121767283231145	0.0125550025483645	0.11780372760866582	0.01715086764360439	0.14169231026595863	0.09134273360285554	3.773622980849956	1.6805764132116263	0.14902140044097728	0.01987888645164283	True	True	True	True	False
Forced_vital_capacity__FVC_	0.2046753085480915	0.01076190199492475	0.017323892183892835	0.013072407140673831	0.22199920073198431	0.014620988811279583	True	False	True	0.09098421575440543	0.01241213771091513	0.19570965688268852	0.016634747274296577	0.3388883163489891	0.05315605282532962	2.151028673049944	0.38568186219447775	0.28669387263709395	0.01784236622065131	True	True	True	True	True
Arm_fat_percentage__left_	0.20947516530879123	0.010416157862369884	-0.019747931045086393	0.012425145904112941	0.18972723426370483	0.014193667745208957	True	False	True	0.08518594601618497	0.012067165074969874	0.1813603808974905	0.01624783823822535	0.4122571213893693	0.05946377618852017	2.128994151958268	0.39567360545044766	0.26654632691367547	0.017606806158305007	True	True	True	True	True
Mean_sphered_cell_volume	0.23403775299891005	0.011787219055701962	-0.16668787776108593	0.013303884140694888	0.06734987523782412	0.01638599553683883	True	True	True	0.07162598552646433	0.012665920922130593	0.17552334554152063	0.017042285179793556	0.29740381561929013	0.05892765424009079	2.4505540028718817	0.540528873512853	0.24714933106798498	0.018730987273529055	True	True	True	True	True
HDL_cholesterol	0.19181783348423623	0.011455384081124663	0.005023575326077027	0.013877134714603093	0.19684140881031326	0.01577607362677643	True	False	True	0.09745818083468855	0.013482480427978125	0.18081099224975294	0.01821089733995091	0.31856219020832677	0.0561848994729252	1.8552674665295663	0.3559765748316823	0.2782691730844415	0.019510775334972624	True	True	True	True	True
Creatinine	0.16874972977781375	0.01057218694222696	0.002304997797332951	0.012978320264160058	0.1710547275751467	0.01493085655476063	True	False	True	0.0554944353738246	0.0128675170002131	0.16171970580837894	0.0172283717359662	0.4113116195976006	0.08323435274598534	2.9141607571821204	0.7978890667861711	0.21721414118220353	0.019338394945542573	True	True	True	True	False
Reticulocyte_count	0.17437355792593023	0.010622054216128005	0.032693010185234565	0.01294532545503109	0.2070665681111648	0.014701026001126327	True	True	True	0.101532641611669	0.013533843285927539	0.12555171955773767	0.01925297276363253	0.19231942285851703	0.05487967724423207	1.2365650845364018	0.2793332929764862	0.22708436116940667	0.020727080382313422	True	True	True	True	True
Forced_vital_capacity__FVC_,_Best_measure	0.20109158349974543	0.013195988757628103	-0.000620977243474253	0.015338182191839961	0.20047060625627117	0.017746575633693286	True	False	True	0.0842402096869533	0.01541355040187991	0.17704574131308215	0.020878049476301848	-0.009338213200934089	0.04670255703773091	2.101677357772557	0.5069975013031804	0.26128595100003543	0.02263304403653122	True	True	True	True	True
Red_blood_cell__erythrocyte__count	0.2333589283427005	0.0110632173705465	-0.07278323629697281	0.012749916776849824	0.1605756920457277	0.01487864797235779	True	True	True	0.11135344685372349	0.012186776133779102	0.16898103157427952	0.016770137636096524	0.3473809863364794	0.050814192696145094	1.517519541144128	0.2535998557029622	0.280334478428003	0.017747180092068902	True	True	True	True	True
Leg_fat_mass__right_	0.21533455294854162	0.011715959958129555	-0.19475163939552	0.011237341094302867	0.02058291355302161	0.01582069771020727	True	True	False	0.09052457161691999	0.012979550130496394	0.1351369072835753	0.01830905302947566	0.42445659725069546	0.07181163642059006	1.4928201798672396	0.3264173228084114	0.2256614789004953	0.019870898273668978	True	True	True	True	True
Albumin	0.08666151342347186	0.014066240692009999	-0.21960754942066393	0.011726307353257647	-0.13294603599719207	0.019848969548166284	True	True	True	0.04578449098940998	0.014411340645871807	0.10601180059585892	0.020020076041019966	0.13003805220228393	0.09095622649002157	2.3154522045550228	0.9021001821114047	0.15179629158526892	0.02292912310964472	True	True	True	True	False
Haemoglobin_concentration	0.1566007949218221	0.010220503463520022	0.024304416193124626	0.012305928978617821	0.18090521111494673	0.01429034471469076	True	True	True	0.0753670081818216	0.01295041791733556	0.12015345297604675	0.018335712802773817	0.4914518857503476	0.08845127874306112	1.5942446950551445	0.40054963005867555	0.19552046115786836	0.020261624341731368	True	True	True	True	True
Urea	0.14201498926438466	0.012614369440937303	-0.2251857204349364	0.01238194567684601	-0.08317073117055174	0.018282240809519425	True	True	True	0.04753642558598547	0.01283241615394051	0.1239082443214953	0.017660783121421685	0.4008814911993783	0.09968560205962274	2.60659573777515	0.8463783269759564	0.17144466990748078	0.020110688986642138	True	True	True	True	False
Haematocrit_percentage	0.16597203268355495	0.011361167580452613	-0.11767390453870707	0.01253403537674824	0.04829812814484788	0.016133560140561727	True	True	True	0.07247133427991546	0.012813602861367913	0.11417335030320436	0.01818265806194999	-0.12693335313912527	0.056321924075870375	1.5754277389487237	0.40847306905207786	0.18664468458311984	0.020176215869278737	True	True	True	True	True
